Comparison stage no.,data//output//runtimePerformance//DECMO//SolutionSetSize50//,data//output//runtimePerformance//DECMO//SolutionSetSize100//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO//SolutionSetSize300//,data//output//runtimePerformance//DECMO//SolutionSetSize400//,data//output//runtimePerformance//DECMO//SolutionSetSize500//
132,84.58487140799032,86.24527225661078,80.51926712786083,71.17710986669908,61.497852410964285,50.421952479476
133,84.61613360921548,86.2988236461409,80.51926712786083,71.17710986669908,61.497852410964285,50.421952479476
134,84.63732429573648,86.35431691088726,80.80989874499049,71.17710986669908,61.497852410964285,50.421952479476
135,84.67702898394279,86.4008795158597,80.80989874499049,71.99990363854482,61.497852410964285,52.850762314557166
136,84.71344909526051,86.45427367286989,81.12096643840229,71.99990363854482,63.0430871137245,52.850762314557166
137,84.73832781811565,86.50351646569072,81.12096643840229,71.99990363854482,63.0430871137245,52.850762314557166
138,84.76300624673648,86.5452818246277,81.41009747230096,72.92546052031472,63.0430871137245,52.850762314557166
139,84.77491728761075,86.58790080765348,81.41009747230096,72.92546052031472,63.0430871137245,52.850762314557166
140,84.80837901847514,86.62268252937469,81.68439868691117,72.92546052031472,64.38816732551841,55.14950703794253
141,84.84254169944168,86.66698978574979,81.68439868691117,73.66292033125784,64.38816732551841,55.14950703794253
142,84.87799344742291,86.71772626888253,81.95310978945346,73.66292033125784,64.38816732551841,55.14950703794253
143,84.90503392851639,86.75811133724007,81.95310978945346,73.66292033125784,64.38816732551841,55.14950703794253
144,84.92934083489064,86.79573796496382,82.25095685606006,74.40234797705897,65.80958366582509,55.14950703794253
145,84.94543333750887,86.83180138788958,82.25095685606006,74.40234797705897,65.80958366582509,57.29434326732774
146,84.95575385679373,86.87357080937015,82.49770053578409,74.40234797705897,65.80958366582509,57.29434326732774
147,84.96844665901479,86.91631003819617,82.49770053578409,75.04078836228102,65.80958366582509,57.29434326732774
148,84.99088136919313,86.95591373336246,82.73534041310062,75.04078836228102,67.05240651128715,57.29434326732774
149,85.02232442938774,86.99424924107105,82.73534041310062,75.04078836228102,67.05240651128715,57.29434326732774
150,85.0492884528321,87.0238656609378,82.98008323844054,75.67458266133367,67.05240651128715,59.15749129086921
151,85.07162444006114,87.0604140723964,82.98008323844054,75.67458266133367,67.05240651128715,59.15749129086921
152,85.08901719416983,87.09959787442531,83.20073286863672,75.67458266133367,68.21490848572553,59.15749129086921
153,85.10913049622573,87.13638297076005,83.20073286863672,76.27184764392965,68.21490848572553,59.15749129086921
154,85.13418123672514,87.17210882693493,83.40930112142821,76.27184764392965,68.21490848572553,59.15749129086921
155,85.16531206708686,87.20245543099333,83.40930112142821,76.27184764392965,68.21490848572553,60.87466303429845
156,85.19150675315237,87.23788235477767,83.59646420407856,76.82800662028481,69.26854734735136,60.87466303429845
157,85.19794707900097,87.26814980933648,83.59646420407856,76.82800662028481,69.26854734735136,60.87466303429845
158,85.22134100991836,87.29717199379911,83.7838627750824,76.82800662028481,69.26854734735136,60.87466303429845
159,85.23778930632149,87.33241683770223,83.7838627750824,77.33959640134901,69.26854734735136,60.87466303429845
160,85.28602197452989,87.36420570515904,83.95924537545326,77.33959640134901,70.3245250519116,62.48623911922769
161,85.30903942753129,87.39190123757776,83.95924537545326,77.33959640134901,70.3245250519116,62.48623911922769
162,85.34447545424895,87.42834445344356,84.13099897123806,77.81292416806407,70.3245250519116,62.48623911922769
163,85.35494620141252,87.45470649534715,84.13099897123806,77.81292416806407,70.3245250519116,62.48623911922769
164,85.38028507340464,87.48547857039044,84.29131119375612,77.81292416806407,71.39034588421124,62.48623911922769
165,85.3972310684036,87.5155955448167,84.29131119375612,78.31522305691004,71.39034588421124,64.06288043202609
