Comparison stage no.,data//output//runtimePerformance//GDE3//SolutionSetSize50//,data//output//runtimePerformance//GDE3//SolutionSetSize100//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize300//,data//output//runtimePerformance//GDE3//SolutionSetSize400//,data//output//runtimePerformance//GDE3//SolutionSetSize500//
155,89.45788315751113,87.34769141340321,74.19656038181527,53.708802642194605,34.06629417467544,19.63772906184678
156,89.47573109371127,87.4098034449584,74.68049835819735,54.902607385523716,35.98824351106404,19.63772906184678
157,89.50869987596964,87.47016117164887,74.68049835819735,54.902607385523716,35.98824351106404,19.63772906184678
158,89.5255433259687,87.53048785233872,75.15015996141392,54.902607385523716,35.98824351106404,19.63772906184678
159,89.55425568079737,87.59387094868576,75.15015996141392,56.20678073468848,35.98824351106404,19.63772906184678
160,89.57539422564771,87.65711533931227,75.58276990569377,56.20678073468848,38.06344819219568,21.64670779894742
161,89.60802750254466,87.72393650107787,75.58276990569377,56.20678073468848,38.06344819219568,21.64670779894742
162,89.63020430486674,87.78690639934169,76.01095159863657,57.382645846483584,38.06344819219568,21.64670779894742
163,89.64959610839146,87.85475463279649,76.01095159863657,57.382645846483584,38.06344819219568,21.64670779894742
164,89.66907494026903,87.90298618966496,76.46578549236655,57.382645846483584,39.778953337833144,21.64670779894742
165,89.69537715959937,87.96040453950899,76.46578549236655,58.527800454385535,39.778953337833144,23.812827155125188
166,89.71591352471259,88.01134105998429,76.9114276644156,58.527800454385535,39.778953337833144,23.812827155125188
167,89.74392792601071,88.05873905383989,76.9114276644156,58.527800454385535,39.778953337833144,23.812827155125188
168,89.76623983876068,88.10370760687115,77.27809967725457,59.510110601045454,41.69039152198155,23.812827155125188
169,89.7851632978776,88.15950622969306,77.27809967725457,59.510110601045454,41.69039152198155,23.812827155125188
170,89.80211315665615,88.20608465450816,77.64326699650493,59.510110601045454,41.69039152198155,26.31190221289017
171,89.82232601841655,88.25458292813262,77.64326699650493,60.49373952466903,41.69039152198155,26.31190221289017
172,89.84395158551175,88.29846050827086,77.98000161049895,60.49373952466903,43.513384182048306,26.31190221289017
173,89.86898890144255,88.34202682786261,77.98000161049895,60.49373952466903,43.513384182048306,26.31190221289017
174,89.88971378313096,88.39046315915145,78.32812609266743,61.479530392309336,43.513384182048306,26.31190221289017
175,89.90866282552308,88.44221821210351,78.32812609266743,61.479530392309336,43.513384182048306,28.213608753530934
176,89.92224646075528,88.48279692224787,78.66106469610173,61.479530392309336,45.142699467992394,28.213608753530934
177,89.93790134847384,88.53715906039598,78.66106469610173,62.4676297891833,45.142699467992394,28.213608753530934
178,89.95351987418016,88.57911989310935,78.99846173026536,62.4676297891833,45.142699467992394,28.213608753530934
179,89.97786346635014,88.62210986207792,78.99846173026536,62.4676297891833,45.142699467992394,28.213608753530934
180,89.99853609042249,88.66293539033208,79.28491982667012,63.29137288533006,46.47218306333185,30.01213357160165
181,90.02001527742323,88.70107180376189,79.28491982667012,63.29137288533006,46.47218306333185,30.01213357160165
182,90.03414827227051,88.74990783486085,79.60086339877599,63.29137288533006,46.47218306333185,30.01213357160165
183,90.06211456500324,88.7899144605246,79.60086339877599,64.16310226286829,46.47218306333185,30.01213357160165
184,90.08286839346695,88.8272518957193,79.89457731627824,64.16310226286829,48.17949466935359,30.01213357160165
185,90.10196684768766,88.87497414104227,79.89457731627824,64.16310226286829,48.17949466935359,32.56118752199384
