Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
202,78.37308080865652,78.71987405842911,76.31862685182618,68.31400817643328,79.47039255829546,79.92540994041849,79.72261409494737
203,78.37308080865652,78.71987405842911,76.31862685182618,68.32879237935079,79.47039255829546,79.92540994041849,79.72261409494737
204,78.40231550135303,78.74498521930197,76.4324257301151,68.35065649298535,79.50603214839856,79.93861980322588,79.73184807590103
205,78.40231550135303,78.74498521930197,76.4324257301151,68.36436524351139,79.50603214839856,79.93861980322588,79.73184807590103
206,78.42136200982233,78.77012222529326,76.57187580081563,68.37603841667556,79.53578877768655,79.95798856812449,79.74043379463691
207,78.42136200982233,78.77012222529326,76.57187580081563,68.388194701882,79.53578877768655,79.95798856812449,79.74043379463691
208,78.44214096879682,78.79126334781867,76.70904523065818,68.40267232833439,79.56350324570448,79.97309029752309,79.74887893699356
209,78.44214096879682,78.79126334781867,76.70904523065818,68.41604740557015,79.56350324570448,79.97309029752309,79.74887893699356
210,78.45980542847927,78.81286904042675,76.84935627802805,68.43455270068024,79.5852050301285,79.9907648503732,79.75910448768994
211,78.45980542847927,78.81286904042675,76.84935627802805,68.44959913081122,79.5852050301285,79.9907648503732,79.75910448768994
212,78.47980874714833,78.83945943665165,76.98211231101597,68.46272899299483,79.61270858913666,80.00529200727587,79.76821793310728
213,78.47980874714833,78.83945943665165,76.98211231101597,68.47597154297114,79.61270858913666,80.00529200727587,79.76821793310728
214,78.74315264215704,78.85850788259542,77.08890945359826,68.49189753626791,79.64308172570632,80.02108015728258,79.77854254222508
215,78.74315264215704,78.85850788259542,77.08890945359826,68.50500199689017,79.64308172570632,80.02108015728258,79.77854254222508
216,78.79900666297023,78.88320840020475,77.17372520763445,68.5218780506025,79.66449183940084,80.03097343031592,79.7877354828911
217,78.79900666297023,78.88320840020475,77.17372520763445,68.53160624834908,79.66449183940084,80.03097343031592,79.7877354828911
