Comparison stage no.,data//output//runtimePerformance//SPEA2//SolutionSetSize200//,data//output//runtimePerformance//NSGA2//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//MOEAD_DRA//SolutionSetSize595//,data//output//runtimePerformance//DECMO//SolutionSetSize200//,data//output//runtimePerformance//DECMO2//SolutionSetSize200//,data//output//runtimePerformance//DECMO2++//SolutionSetSize200//
269,98.71375974101579,99.05084132063973,99.64173324889774,49.4710034082266,99.38208437325608,99.668494879246,99.67042151375597
270,98.73821227887133,99.0629374269116,99.64520015514888,49.85447507156451,99.39091216266087,99.66955632948414,99.67160091134102
271,98.73821227887133,99.0629374269116,99.64520015514888,50.27578895699275,99.39091216266087,99.66955632948414,99.67160091134102
272,98.76111917753056,99.07703568031565,99.64855203256539,50.7103565979821,99.39843730261698,99.67053364017897,99.6726275390473
273,98.76111917753056,99.07703568031565,99.64855203256539,51.1621683350682,99.39843730261698,99.67053364017897,99.6726275390473
274,98.78476995579608,99.08955578119854,99.65224765782264,51.572264705913994,99.40400168194621,99.67152896887953,99.67345048817019
275,98.78476995579608,99.08955578119854,99.65224765782264,52.0717222873022,99.40400168194621,99.67152896887953,99.67345048817019
276,98.80720588660336,99.10369350122117,99.6553590906745,52.40458107857153,99.4117171520514,99.67221773840967,99.67434938017851
277,98.80720588660336,99.10369350122117,99.6553590906745,52.7469143819131,99.4117171520514,99.67221773840967,99.67434938017851
278,98.8296128097784,99.11459429427637,99.65831338256757,53.172391120814865,99.41874815023772,99.67335048973239,99.67539216667706
279,98.8296128097784,99.11459429427637,99.65831338256757,53.65147054691083,99.41874815023772,99.67335048973239,99.67539216667706
280,98.8502976860364,99.12741405763441,99.66119556309195,53.96578729878241,99.42109933969449,99.67416801452481,99.67626309179438
281,98.8502976860364,99.12741405763441,99.66119556309195,54.36487802880294,99.42109933969449,99.67416801452481,99.67626309179438
282,98.87005288921696,99.1383306813025,99.66417253036592,54.78348104747557,99.42775960698137,99.67557782755003,99.67718309305285
