Comparison stage no.,data//output//runtimePerformance//GDE3//SolutionSetSize50//,data//output//runtimePerformance//GDE3//SolutionSetSize100//,data//output//runtimePerformance//GDE3//SolutionSetSize200//,data//output//runtimePerformance//GDE3//SolutionSetSize300//,data//output//runtimePerformance//GDE3//SolutionSetSize400//,data//output//runtimePerformance//GDE3//SolutionSetSize500//
304,97.29239245400815,98.75413484792428,99.36027157210727,98.75724066567318,94.42697645994438,82.6167324364828
305,97.2910785834039,98.754127917735,99.36027157210727,98.75724066567318,94.42697645994438,83.82315296248821
306,97.28717543454816,98.75438177741549,99.36429178392216,98.81098689497979,94.42697645994438,83.82315296248821
307,97.28617572582097,98.75428341616605,99.36429178392216,98.81098689497979,94.42697645994438,83.82315296248821
308,97.28458526645824,98.75458965601817,99.36796282602388,98.81098689497979,94.81894749441476,83.82315296248821
309,97.28502545132231,98.75472401741604,99.36796282602388,98.86091791018481,94.81894749441476,83.82315296248821
310,97.28743996262426,98.75507104089408,99.3712666764746,98.86091791018481,94.81894749441476,84.93291555419553
311,97.28630565997486,98.75453956681685,99.3712666764746,98.86091791018481,94.81894749441476,84.93291555419553
312,97.2834304322118,98.75384646353929,99.37443987435898,98.90786941394664,95.18928460466586,84.93291555419553
313,97.28196404957838,98.7537838024899,99.37443987435898,98.90786941394664,95.18928460466586,84.93291555419553
314,97.28339737151904,98.75410500322666,99.37789503102142,98.90786941394664,95.18928460466586,84.93291555419553
315,97.28459025638722,98.75443524466348,99.37789503102142,98.95066116711216,95.18928460466586,85.9889310811376
316,97.28716237984962,98.75463965094737,99.38100941199035,98.95066116711216,95.53214960312276,85.9889310811376
317,97.28315132814022,98.75478466406791,99.38100941199035,98.95066116711216,95.53214960312276,85.9889310811376
318,97.28311769451028,98.75451086379542,99.384105127143,98.99141764298894,95.53214960312276,85.9889310811376
319,97.28594196761945,98.75454061712013,99.384105127143,98.99141764298894,95.53214960312276,85.9889310811376
320,97.28530372476312,98.75465044706479,99.38686331987975,98.99141764298894,95.84721930163671,87.01278279724461
321,97.2842115693861,98.75528426856043,99.38686331987975,99.03001165604118,95.84721930163671,87.01278279724461
322,97.28280243407687,98.7547058300436,99.38947785697732,99.03001165604118,95.84721930163671,87.01278279724461
323,97.2793217667734,98.75486666724552,99.38947785697732,99.03001165604118,95.84721930163671,87.01278279724461
324,97.27489684293624,98.75480823041859,99.39216437112545,99.06502250566764,96.13681054054518,87.01278279724461
325,97.27819262905498,98.75468721233871,99.39216437112545,99.06502250566764,96.13681054054518,87.92569659533743
326,97.27666051520293,98.75469164652824,99.39465554857685,99.06502250566764,96.13681054054518,87.92569659533743
327,97.27642819240587,98.75497635100547,99.39465554857685,99.09747522527003,96.13681054054518,87.92569659533743
328,97.27252158409232,98.75542941221521,99.39692494165804,99.09747522527003,96.4067744928594,87.92569659533743
329,97.27215075165267,98.7547058123228,99.39692494165804,99.09747522527003,96.4067744928594,87.92569659533743
330,97.26768415767648,98.75485045432478,99.39938554842698,99.12933968596852,96.4067744928594,88.78734360879058
331,97.27103388023266,98.7548916857865,99.39938554842698,99.12933968596852,96.4067744928594,88.78734360879058
332,97.2722275500389,98.754863151633,99.40170647863886,99.12933968596852,96.6560137613905,88.78734360879058
333,97.26729205785212,98.75478530308362,99.40170647863886,99.15883923932849,96.6560137613905,88.78734360879058
334,97.26508654623619,98.75472305857811,99.40386130796068,99.15883923932849,96.6560137613905,88.78734360879058
335,97.26960219778823,98.75505141489083,99.40386130796068,99.15883923932849,96.6560137613905,89.59056817524521
336,97.27240274878112,98.75478566375432,99.40584578472325,99.18575269446201,96.88972719687116,89.59056817524521
337,97.2715081154594,98.75504235814554,99.40584578472325,99.18575269446201,96.88972719687116,89.59056817524521
338,97.27053598585603,98.75495106891356,99.40772765878071,99.18575269446201,96.88972719687116,89.59056817524521
339,97.27030389552529,98.7549159526206,99.40772765878071,99.2115134957677,96.88972719687116,89.59056817524521
340,97.26731199560248,98.75485870652861,99.40945990377158,99.2115134957677,97.1040893419379,90.34242733422363
341,97.26716609852785,98.75459005600221,99.40945990377158,99.2115134957677,97.1040893419379,90.34242733422363
342,97.26308283487532,98.75496510502568,99.4113829093094,99.23529419885833,97.1040893419379,90.34242733422363
343,97.26250555752634,98.75515126828508,99.4113829093094,99.23529419885833,97.1040893419379,90.34242733422363
344,97.25911043199041,98.75496483474913,99.41306584126139,99.23529419885833,97.30222854996292,90.34242733422363
345,97.2604831938029,98.75419630846406,99.41306584126139,99.25774669770361,97.30222854996292,91.03249135471499
346,97.25902934831026,98.75389981804385,99.4148006939067,99.25774669770361,97.30222854996292,91.03249135471499
347,97.25831841497534,98.75387833725125,99.4148006939067,99.25774669770361,97.30222854996292,91.03249135471499
348,97.26054907112228,98.75419057606179,99.41635773174528,99.27940314492169,97.48715136778928,91.03249135471499
349,97.25451343777426,98.75442036158601,99.41635773174528,99.27940314492169,97.48715136778928,91.03249135471499
350,97.25190372893871,98.75477175210786,99.41787203385155,99.27940314492169,97.48715136778928,91.6830927702888
351,97.24879918781103,98.75510675545081,99.41787203385155,99.29911256924186,97.48715136778928,91.6830927702888
352,97.25247409876333,98.75474782646359,99.41940943768637,99.29911256924186,97.65866153752701,91.6830927702888
353,97.25117433733826,98.75459241821417,99.41940943768637,99.29911256924186,97.65866153752701,91.6830927702888
354,97.24953040066708,98.75485666484794,99.42069102770661,99.31774469401304,97.65866153752701,91.6830927702888
355,97.25160871402637,98.75490687234912,99.42069102770661,99.31774469401304,97.65866153752701,92.28842244595636
356,97.2500319272305,98.7550588230977,99.42209470100148,99.31774469401304,97.82175646372036,92.28842244595636
357,97.25335465009135,98.7546260495374,99.42209470100148,99.33579407599129,97.82175646372036,92.28842244595636
358,97.24775083190198,98.75456176518139,99.4233377205277,99.33579407599129,97.82175646372036,92.28842244595636
359,97.24847952983926,98.754749368369,99.4233377205277,99.33579407599129,97.82175646372036,92.28842244595636
360,97.2486182247336,98.75503940062917,99.42455872745909,99.35237767199476,97.9734542231832,92.85137494365168
361,97.24987347230444,98.75535981319926,99.42455872745909,99.35237767199476,97.9734542231832,92.85137494365168
362,97.24914074945731,98.75510683855536,99.4257839627438,99.35237767199476,97.9734542231832,92.85137494365168
363,97.24815440776752,98.75503644190925,99.4257839627438,99.3683811444777,97.9734542231832,92.85137494365168
364,97.2470286315439,98.7553237117237,99.42675959634028,99.3683811444777,98.11166270522766,92.85137494365168
365,97.24745686662912,98.75572344437455,99.42675959634028,99.3683811444777,98.11166270522766,93.37309450867146
366,97.24334713843723,98.75640732586949,99.4278923908262,99.38388113572772,98.11166270522766,93.37309450867146
367,97.24282003448094,98.75614887912681,99.4278923908262,99.38388113572772,98.11166270522766,93.37309450867146
368,97.24377625494668,98.75550926630522,99.42872239533739,99.38388113572772,98.23740564154112,93.37309450867146
369,97.24422887666947,98.75517183068771,99.42872239533739,99.39840895959783,98.23740564154112,93.37309450867146
370,97.24541133306028,98.75508315949128,99.42955693521124,99.39840895959783,98.23740564154112,93.85330455791728
371,97.24405883406571,98.75478658086259,99.42955693521124,99.39840895959783,98.23740564154112,93.85330455791728
372,97.24814998594842,98.75485072657942,99.43041926184279,99.41248262615959,98.35465234021038,93.85330455791728
373,97.24374559315783,98.75502943993061,99.43041926184279,99.41248262615959,98.35465234021038,93.85330455791728
374,97.24422831649836,98.75506827572009,99.4314108866265,99.41248262615959,98.35465234021038,93.85330455791728
375,97.24510359068194,98.75532332342306,99.4314108866265,99.42539010941282,98.35465234021038,94.28954861045408
376,97.24186298096812,98.75485298013817,99.43245021554188,99.42539010941282,98.45977595011266,94.28954861045408
377,97.24268312101546,98.75494249818243,99.43245021554188,99.42539010941282,98.45977595011266,94.28954861045408
378,97.2396887339295,98.75503804582407,99.43329876418697,99.43781800451492,98.45977595011266,94.28954861045408
379,97.23789004183618,98.75469150125525,99.43329876418697,99.43781800451492,98.45977595011266,94.28954861045408
380,97.23874552762949,98.75473965545372,99.43420789427294,99.43781800451492,98.55548954429847,94.70163268317464
381,97.23724307495264,98.7547032470125,99.43420789427294,99.44915246957522,98.55548954429847,94.70163268317464
